Date,PX_LAST
2025-04-11,3471.27
2025-04-10,3421.91
2025-04-09,3464.76
2025-04-08,3254.24
2025-04-07,3267
2025-04-04,3326.28
2025-04-03,3532.64
2025-04-02,3668.53
2025-04-01,3649.56
2025-03-31,3628.64
2025-03-28,3634.71
2025-03-27,3696.16
2025-03-26,3709.19
2025-03-25,3746.87
2025-03-24,3735.73
2025-03-21,3689.85
2025-03-20,3693.55
2025-03-19,3701.86
2025-03-18,3672.57
2025-03-17,3697.21
2025-03-14,3665.71
2025-03-13,3599.67
2025-03-12,3643.01
2025-03-11,3623.17
2025-03-10,3651.48
2025-03-07,3740.37
2025-03-06,3730.93
2025-03-05,3777.64
2025-03-04,3724.69
2025-03-03,3770.34
2025-02-28,3805.33
2025-02-27,3767.35
2025-02-26,3821.04
2025-02-25,3814.35
2025-02-24,3828.18
2025-02-21,3843.08
2025-02-20,3893.65
2025-02-19,3906.82
2025-02-18,3910.71
2025-02-17,3902.14
2025-02-14,3898.87
2025-02-13,3894.24
2025-02-12,3848.18
2025-02-11,3854.96
2025-02-10,3854.09
2025-02-07,3832.82
2025-02-06,3864.03
2025-02-05,3848.65
2025-02-04,3826.36
2025-02-03,3796.53
2025-01-31,3836.58
2025-01-30,3853.49
2025-01-29,3828.45
2025-01-28,3836.25
2025-01-27,3813.33
2025-01-24,3856.78
2025-01-23,3856.17
2025-01-22,3838.19
2025-01-21,3817.28
2025-01-20,3788.38
2025-01-17,3777.85
2025-01-16,3746.86
2025-01-15,3744.47
2025-01-14,3682.46
2025-01-13,3674.92
2025-01-10,3678.22
2025-01-09,3732.14
2025-01-08,3732.2
2025-01-07,3733.55
2025-01-06,3763.15
2025-01-03,3737.5
2025-01-02,3702.68
2025-01-01,3707.88
2024-12-31,3707.84
2024-12-30,3718.94
2024-12-27,3755.36
2024-12-26,3778.7
2024-12-25,3778.53
2024-12-24,3777.89
2024-12-23,3745.13
2024-12-20,3723.22
2024-12-19,3696.05
2024-12-18,3720.41
2024-12-17,3812.07
2024-12-16,3826.99
2024-12-13,3817.24
2024-12-12,3826.08
2024-12-11,3842.39
2024-12-10,3816.76
2024-12-09,3837.63
2024-12-06,3855.07
2024-12-05,3848.48
2024-12-04,3849.72
2024-12-03,3830.12
2024-12-02,3817.72
2024-11-29,3810.14
2024-11-28,3789.28
2024-11-27,3786.04
2024-11-26,3790.31
2024-11-25,3781.79
2024-11-22,3765.96
2024-11-21,3753.51
2024-11-20,3732.77
2024-11-19,3738.95
2024-11-18,3723.36
2024-11-15,3710.5
2024-11-14,3752.7
2024-11-13,3767.05
2024-11-12,3773.23
2024-11-11,3795.3
2024-11-08,3791.23
2024-11-07,3787.27
2024-11-06,3752.15
2024-11-05,3692.96
2024-11-04,3656.14
2024-11-01,3660.03
2024-10-31,3647.14
2024-10-30,3706.29
2024-10-29,3717.86
2024-10-28,3716.61
2024-10-25,3705.81
2024-10-24,3707.18
2024-10-23,3697.6
2024-10-22,3731.32
2024-10-21,3740.27
2024-10-18,3753.04
2024-10-17,3737.87
2024-10-16,3735.29
2024-10-15,3728.4
2024-10-14,3753.49
2024-10-11,3731.93
2024-10-10,3710.71
2024-10-09,3716.17
2024-10-08,3694.3
2024-10-07,3678.75
2024-10-04,3698.41
2024-10-03,3675.89
2024-10-02,3685.92
2024-10-01,3693.5
2024-09-30,3723.03
2024-09-27,3726.8
2024-09-26,3720.51
2024-09-25,3695.89
2024-09-24,3702.33
2024-09-23,3688.33
2024-09-20,3676.84
2024-09-19,3689.52
2024-09-18,3629.69
2024-09-17,3640.5
2024-09-16,3640.73
2024-09-13,3634.86
2024-09-12,3611.3
2024-09-11,3578.65
2024-09-10,3552.03
2024-09-09,3546.4
2024-09-06,3518.58
2024-09-05,3567.49
2024-09-04,3580.06
2024-09-03,3595.44
2024-09-02,3659.44
2024-08-30,3661.24
2024-08-29,3632.16
2024-08-28,3631.2
2024-08-27,3647.3
2024-08-26,3641.81
2024-08-23,3649.56
2024-08-22,3607.63
2024-08-21,3630.66
2024-08-20,3615.77
2024-08-19,3618.41
2024-08-16,3584.19
2024-08-15,3568.1
2024-08-14,3522.42
2024-08-13,3501.91
2024-08-12,3446.33
2024-08-09,3447.75
2024-08-08,3427.78
2024-08-07,3372.32
2024-08-06,3380.91
2024-08-05,3342.73
2024-08-02,3448.8
2024-08-01,3518.01
2024-07-31,3571.58
2024-07-30,3514.37
2024-07-29,3526.51
2024-07-26,3524.08
2024-07-25,3490.82
2024-07-24,3515.97
2024-07-23,3580.87
2024-07-22,3584.66
2024-07-19,3553.76
2024-07-18,3579.84
2024-07-17,3607.74
2024-07-16,3642.95
2024-07-15,3629.58
2024-07-12,3627.52
2024-07-11,3606.15
2024-07-10,3613.62
2024-07-09,3579.33
2024-07-08,3582.7
2024-07-05,3580.9
2024-07-04,3569.36
2024-07-03,3562.23
2024-07-02,3537.51
2024-07-01,3520.04
2024-06-28,3511.78
2024-06-27,3521.9
2024-06-26,3520.21
2024-06-25,3520.73
2024-06-24,3508.95
2024-06-21,3507.81
2024-06-20,3519.68
2024-06-19,3523.66
2024-06-18,3522.68
2024-06-17,3508.25
2024-06-14,3492.05
2024-06-13,3504.48
2024-06-12,3516.3
2024-06-11,3479.94
2024-06-10,3482.22
2024-06-07,3478.7
2024-06-06,3489.89
2024-06-05,3483.4
2024-06-04,3453.71
2024-06-03,3453.44
2024-05-31,3445.17
2024-05-30,3420.32
2024-05-29,3430.01
2024-05-28,3464.61
2024-05-27,3468.13
2024-05-24,3462.13
2024-05-23,3446.43
2024-05-22,3465.55
2024-05-21,3479.84
2024-05-20,3477.07
2024-05-17,3472.52
2024-05-16,3468.71
2024-05-15,3472.26
2024-05-14,3435.15
2024-05-13,3421.11
2024-05-10,3419.92
2024-05-09,3411.11
2024-05-08,3395.64
2024-05-07,3401.77
2024-05-06,3391.13
2024-05-03,3361.41
2024-05-02,3321.81
2024-05-01,3294.01
2024-04-30,3305.3
2024-04-29,3347.04
2024-04-26,3335.08
2024-04-25,3306.68
2024-04-24,3323.29
2024-04-23,3322.54
2024-04-22,3282.09
2024-04-19,3255.62
2024-04-18,3280.1
2024-04-17,3281.11
2024-04-16,3297.14
2024-04-15,3317.68
2024-04-12,3351.01
2024-04-11,3391.01
2024-04-10,3379.73
2024-04-09,3412.09
2024-04-08,3408.57
2024-04-05,3402.36
2024-04-04,3386.31
2024-04-03,3409.62
2024-04-02,3403.4
2024-04-01,3424.73
2024-03-29,3437.76
2024-03-28,3436.78
2024-03-27,3436.98
2024-03-26,3414.29
2024-03-25,3420.18
2024-03-22,3428.12
2024-03-21,3434.69
2024-03-20,3414.89
2024-03-19,3393.37
2024-03-18,3380.67
2024-03-15,3363.03
2024-03-14,3382.48
2024-03-13,3396.19
2024-03-12,3397.25
2024-03-11,3367.08
2024-03-08,3380.14
2024-03-07,3391.26
2024-03-06,3357.03
2024-03-05,3337.2
2024-03-04,3362.28
2024-03-01,3364.04
2024-02-29,3337.2
2024-02-28,3322.64
2024-02-27,3331.88
2024-02-26,3325.79
2024-02-23,3334.04
2024-02-22,3329.86
2024-02-21,3272.19
2024-02-20,3274.33
2024-02-19,3286.86
