Date,PX_LAST
2025-04-11,220.0696
2025-04-10,219.2419
2025-04-09,218.5841
2025-04-08,218.1314
2025-04-07,219.0978
2025-04-04,221.2923
2025-04-03,221.9424
2025-04-02,218.7385
2025-04-01,218.6033
2025-03-31,217.99
2025-03-28,217.763
2025-03-27,216.6966
2025-03-26,216.6541
2025-03-25,217.0701
2025-03-24,216.8633
2025-03-21,217.6052
2025-03-20,218.0384
2025-03-19,217.951
2025-03-18,217.8992
2025-03-17,217.8732
2025-03-14,217.1141
2025-03-13,217.3757
2025-03-12,217.3687
2025-03-11,217.7514
2025-03-10,217.7904
2025-03-07,217.4295
2025-03-06,217.059
2025-03-05,217.1574
2025-03-04,217.08
2025-03-03,216.9989
2025-02-28,216.4821
2025-02-27,216.0541
2025-02-26,216.8887
2025-02-25,216.491
2025-02-24,215.4947
2025-02-21,215.1838
2025-02-20,214.5512
2025-02-19,213.8144
2025-02-18,214.18
2025-02-17,214.8197
2025-02-14,215.0759
2025-02-13,214.1033
2025-02-12,212.5729
2025-02-11,213.3384
2025-02-10,213.7705
2025-02-07,213.9522
2025-02-06,214.5353
2025-02-05,214.9379
2025-02-04,213.634
2025-02-03,213.0152
2025-01-31,213.1335
2025-01-30,213.3945
2025-01-29,212.8526
2025-01-28,212.902
2025-01-27,213.5091
2025-01-24,212.8076
2025-01-23,211.771
2025-01-22,212.2547
2025-01-21,212.3911
2025-01-20,211.8419
2025-01-17,211.0224
2025-01-16,210.97
2025-01-15,210.5486
2025-01-14,208.8927
2025-01-13,208.3952
2025-01-10,209.026
2025-01-09,210.1066
2025-01-08,210.2819
2025-01-07,210.9495
2025-01-06,211.6589
2025-01-03,211.1576
2025-01-02,211.4846
2024-12-31,212.054
2024-12-30,212.2419
2024-12-27,211.8964
2024-12-26,212.1539
2024-12-24,212.0467
2024-12-23,212.0102
2024-12-20,212.5853
2024-12-19,211.9846
2024-12-18,213.6702
2024-12-17,214.6764
2024-12-16,214.7284
2024-12-13,214.5419
2024-12-12,215.3297
2024-12-11,216.124
2024-12-10,216.5106
2024-12-09,217.3134
2024-12-06,217.4427
2024-12-05,217.1772
2024-12-04,216.9042
2024-12-03,216.4039
2024-12-02,216.2765
2024-11-29,216.7283
2024-11-28,215.8375
2024-11-27,215.7193
2024-11-26,214.4668
2024-11-25,214.6363
2024-11-22,212.86
2024-11-21,213.2984
2024-11-20,213.2025
2024-11-19,214.0161
2024-11-18,213.4993
2024-11-15,213.2057
2024-11-14,213.4165
2024-11-13,213.5331
2024-11-12,213.9663
2024-11-11,215.2846
2024-11-08,215.843
2024-11-07,215.742
2024-11-06,214.3364
2024-11-05,216.5122
2024-11-04,216.4685
2024-11-01,215.3647
2024-10-31,216.0111
2024-10-30,216.1377
2024-10-29,215.9713
2024-10-28,216.186
2024-10-25,216.6162
2024-10-24,216.7507
2024-10-23,215.9802
2024-10-22,216.6947
2024-10-21,217.1908
2024-10-18,218.6193
2024-10-17,218.1143
2024-10-16,219.0703
2024-10-15,218.895
2024-10-14,218.2977
2024-10-11,218.4814
2024-10-10,218.3617
2024-10-09,218.5625
2024-10-08,219.1149
2024-10-07,219.1425
2024-10-04,219.7139
2024-10-03,221.3469
2024-10-02,222.1606
2024-10-01,223.1614
2024-09-30,223.0786
2024-09-27,223.4896
2024-09-26,222.8432
2024-09-25,222.9089
2024-09-24,223.3771
2024-09-23,222.8165
2024-09-20,222.628
2024-09-19,222.925
2024-09-18,222.8706
2024-09-17,223.5603
2024-09-16,223.903
2024-09-13,223.1191
2024-09-12,222.1603
2024-09-11,222.3723
2024-09-10,222.0954
2024-09-09,221.784
2024-09-06,222.2957
2024-09-05,221.4162
2024-09-04,221.1629
2024-09-03,219.8311
2024-09-02,219.1731
2024-08-30,219.502
2024-08-29,219.7453
2024-08-28,220.4495
2024-08-27,220.6696
2024-08-26,220.9511
2024-08-23,220.9584
2024-08-22,219.7767
2024-08-21,220.4901
2024-08-20,220.0556
2024-08-19,219.1463
2024-08-16,218.2914
2024-08-15,217.9117
2024-08-14,219.2344
2024-08-13,218.3323
2024-08-12,217.3776
2024-08-09,217.2279
2024-08-08,216.5208
2024-08-07,216.7776
2024-08-06,217.6187
2024-08-05,219.0971
2024-08-02,218.156
2024-08-01,215.4822
2024-07-31,214.856
2024-07-30,213.5825
2024-07-29,213.4435
2024-07-26,213.2515
2024-07-25,212.8432
2024-07-24,212.48
2024-07-23,212.5462
2024-07-22,212.6161
2024-07-19,212.7307
2024-07-18,213.5028
2024-07-17,213.8358
2024-07-16,213.2612
2024-07-15,212.969
2024-07-12,213.1083
2024-07-11,212.5893
2024-07-10,211.0262
2024-07-09,210.7045
2024-07-08,211.1888
2024-07-05,210.844
2024-07-04,209.9634
2024-07-03,210.004
2024-07-02,208.6573
2024-07-01,208.1401
2024-06-28,209.1132
2024-06-27,209.7223
2024-06-26,209.3822
2024-06-25,210.4278
2024-06-24,210.5234
2024-06-21,210.0948
2024-06-20,210.4255
2024-06-19,210.9729
2024-06-18,210.9037
2024-06-17,210.1707
2024-06-14,210.6287
2024-06-13,210.6537
2024-06-12,210.6287
2024-06-11,208.7412
2024-06-10,208.2969
2024-06-07,209.3277
2024-06-06,211.0943
2024-06-05,211.0498
2024-06-04,210.7677
2024-06-03,209.9237
2024-05-31,208.8282
2024-05-30,208.2968
2024-05-29,207.474
2024-05-28,208.8265
2024-05-27,209.297
2024-05-24,209.0263
2024-05-23,208.7308
2024-05-22,209.4631
2024-05-21,209.9877
2024-05-20,209.6531
2024-05-17,210.023
2024-05-16,210.6031
2024-05-15,210.6841
2024-05-14,209.0549
2024-05-13,208.8169
2024-05-10,208.4235
2024-05-09,208.8779
2024-05-08,208.6206
2024-05-07,209.3286
2024-05-06,208.8035
2024-05-03,208.5079
2024-05-02,207.0784
2024-05-01,206.1285
2024-04-30,205.8855
2024-04-29,206.7324
2024-04-26,205.8458
2024-04-25,205.7104
2024-04-24,206.1137
2024-04-23,206.8271
2024-04-22,206.3271
2024-04-19,206.3606
2024-04-18,206.1705
2024-04-17,206.3645
2024-04-16,205.6672
2024-04-15,206.4034
2024-04-12,207.5613
2024-04-11,207.2465
2024-04-10,208.1215
2024-04-09,210.502
2024-04-08,209.6824
2024-04-05,209.6515
2024-04-04,210.8425
2024-04-03,209.9712
2024-04-02,209.5064
2024-04-01,210.0088
2024-03-29,211.2385
2024-03-28,211.2299
2024-03-27,211.4122
2024-03-26,210.936
2024-03-25,210.8296
2024-03-22,210.9775
2024-03-21,210.6782
2024-03-20,210.4718
2024-03-19,210.3422
2024-03-18,210.2832
2024-03-15,210.3389
2024-03-14,210.6516
2024-03-13,212.0592
2024-03-12,212.1807
2024-03-11,212.7007
2024-03-08,213.1843
2024-03-07,212.4997
2024-03-06,211.9347
2024-03-05,211.3843
2024-03-04,210.2688
2024-03-01,210.2733
2024-02-29,209.7759
2024-02-28,209.3752
2024-02-27,209.241
2024-02-26,209.5558
2024-02-23,209.731
2024-02-22,208.9263
2024-02-21,208.7769
2024-02-20,209.5234
2024-02-19,208.7734
2024-02-16,208.7683
2024-02-15,209.2392
2024-02-14,208.536
2024-02-13,207.9163
2024-02-12,209.5151
2024-02-09,209.4611
2024-02-08,209.5405
2024-02-07,210.1999
2024-02-06,210.2549
2024-02-05,209.3374
2024-02-02,211.264
2024-02-01,213.2225
2024-01-31,212.6921
2024-01-30,211.2569
2024-01-29,211.0168
2024-01-26,210.5765
2024-01-25,210.5413
2024-01-24,210.4022
2024-01-23,210.1294
2024-01-22,210.9916
2024-01-19,210.4313
2024-01-18,210.1571
2024-01-17,210.4134
2024-01-16,211.5305
2024-01-15,213.0586
2024-01-12,213.3678
2024-01-11,212.5452
2024-01-10,212.1823
2024-01-09,212.1754
2024-01-08,212.7866
2024-01-05,212.4123
2024-01-04,212.5135
2024-01-03,213.2107
2024-01-02,213.6028
2023-12-29,215.2377
2023-12-28,216.031
2023-12-27,216.3346
2023-12-26,214.7211
2023-12-22,214.5766
2023-12-21,214.4781
