Date,PX_LAST
2025-04-11,525.1592
2025-04-10,517.0383
2025-04-09,521.5681
2025-04-08,509.1159
2025-04-07,514.5713
2025-04-04,522.697
2025-04-03,549.874
2025-04-02,571.5202
2025-04-01,568.4152
2025-03-31,568.0834
2025-03-28,560.5069
2025-03-27,562.2722
2025-03-26,561.2901
2025-03-25,560.0771
2025-03-24,560.0165
2025-03-21,558.215
2025-03-20,559.7675
2025-03-19,556.9029
2025-03-18,554.1162
2025-03-17,555.8898
2025-03-14,551.6911
2025-03-13,550.6375
2025-03-12,553.0826
2025-03-11,549.7515
2025-03-10,548.3746
2025-03-07,551.3098
2025-03-06,547.534
2025-03-05,546.4584
2025-03-04,549.6329
2025-03-03,549.8337
2025-02-28,553.5848
2025-02-27,560.2752
2025-02-26,557.0867
2025-02-25,559.9487
2025-02-24,567.1225
2025-02-21,569.4019
2025-02-20,578.5558
2025-02-19,577.2649
2025-02-18,575.957
2025-02-14,569.4283
2025-02-13,569.892
2025-02-12,569.1634
2025-02-11,574.3975
2025-02-10,570.438
2025-02-07,563.2335
2025-02-06,561.9673
2025-02-05,562.8738
2025-02-04,567.57
2025-02-03,566.9422
2025-01-31,561.9173
2025-01-30,564.3799
2025-01-29,564.3842
2025-01-28,564.3411
2025-01-27,562.4903
2025-01-24,571.143
2025-01-23,570.2603
2025-01-22,572.2723
2025-01-21,572.9894
2025-01-17,577.9557
2025-01-16,579.3265
2025-01-15,581.7657
2025-01-14,571.9032
2025-01-13,576.1283
2025-01-10,570.9737
2025-01-09,557.9464
2025-01-08,552.8847
2025-01-07,557.3379
2025-01-06,555.8166
2025-01-03,553.6366
2025-01-02,555.6274
2024-12-31,549.6434
2024-12-30,547.914
2024-12-27,543.1503
2024-12-26,540.0005
2024-12-24,541.7461
2024-12-23,537.3288
2024-12-20,539.0708
2024-12-19,535.8841
2024-12-18,539.9394
2024-12-17,538.7578
2024-12-16,543.1479
2024-12-13,546.2978
2024-12-12,543.1705
2024-12-11,545.3595
2024-12-10,538.8645
2024-12-09,537.2308
2024-12-06,531.4829
2024-12-05,534.6221
2024-12-04,535.1673
2024-12-03,540.0185
2024-12-02,533.2838
2024-11-29,535.7093
2024-11-27,536.7875
2024-11-26,538.9872
2024-11-25,538.5927
2024-11-22,547.1942
2024-11-21,543.843
2024-11-20,539.2716
2024-11-19,539.2561
2024-11-18,538.0512
2024-11-15,527.1867
2024-11-14,530.3392
2024-11-13,531.475
2024-11-12,530.5007
2024-11-11,530.4168
2024-11-08,538.4194
2024-11-07,547.224
2024-11-06,541.4801
2024-11-05,545.501
2024-11-04,543.0374
2024-11-01,534.8001
2024-10-31,534.2031
2024-10-30,533.3871
2024-10-29,527.5065
2024-10-28,527.5023
2024-10-25,546.3166
2024-10-24,540.453
2024-10-23,542.0034
2024-10-22,545.3726
2024-10-21,536.4899
2024-10-18,531.9896
2024-10-17,537.0154
2024-10-16,536.0621
2024-10-15,536.759
2024-10-14,550.4002
2024-10-11,559.6437
2024-10-10,559.2524
2024-10-09,547.7736
2024-10-08,550.8138
2024-10-07,566.6466
2024-10-04,557.3746
2024-10-03,555.5354
2024-10-02,543.5133
2024-10-01,540.8681
2024-09-30,532.8835
2024-09-27,532.9315
2024-09-26,531.1876
2024-09-25,536.8041
2024-09-24,541.1445
2024-09-23,534.3622
2024-09-20,533.4098
2024-09-19,533.9936
2024-09-18,528.5834
2024-09-17,527.6405
2024-09-16,523.581
2024-09-13,519.0965
2024-09-12,518.9689
2024-09-11,510.7959
2024-09-10,504.2219
2024-09-09,514.8193
2024-09-06,511.0595
2024-09-05,520.1484
2024-09-04,520.2017
2024-09-03,524.7921
2024-08-30,536.7498
2024-08-29,544.0781
2024-08-28,538.1516
2024-08-27,544.5392
2024-08-26,549.2996
2024-08-23,540.4569
2024-08-22,532.1441
2024-08-21,530.5089
2024-08-20,534.3333
2024-08-19,536.7492
2024-08-16,540.0821
2024-08-15,546.5077
2024-08-14,541.8543
2024-08-13,544.4078
2024-08-12,551.8286
2024-08-09,542.0765
2024-08-08,539.4017
2024-08-07,537.3698
2024-08-06,530.7576
2024-08-05,529.3467
2024-08-02,533.0627
2024-08-01,544.3691
2024-07-31,551.4392
2024-07-30,539.111
2024-07-29,543.1357
2024-07-26,549.2813
2024-07-25,554.992
2024-07-24,553.9178
2024-07-23,551.4069
2024-07-22,556.8944
2024-07-19,555.8492
2024-07-18,566.7233
2024-07-17,568.456
2024-07-16,564.2097
2024-07-15,568.8104
2024-07-12,572.3893
2024-07-11,574.3336
2024-07-10,573.0157
2024-07-09,573.7793
2024-07-08,579.8331
2024-07-05,587.0953
2024-07-03,588.716
2024-07-02,584.4537
2024-07-01,584.5505
2024-06-28,578.3853
2024-06-27,580.4856
2024-06-26,577.6742
2024-06-25,577.3726
2024-06-24,582.2141
2024-06-21,579.0551
2024-06-20,583.0179
2024-06-18,582.3325
2024-06-17,577.3536
2024-06-14,575.0868
2024-06-13,577.0281
2024-06-12,576.4782
2024-06-11,573.0036
2024-06-10,571.7023
2024-06-07,564.4197
2024-06-06,569.1241
2024-06-05,560.0111
2024-06-04,557.9038
2024-06-03,563.8223
2024-05-31,573.2754
2024-05-30,578.3106
2024-05-29,587.5309
2024-05-28,592.4433
2024-05-24,581.6939
2024-05-23,579.8935
2024-05-22,583.1933
2024-05-21,588.9441
2024-05-20,591.0514
2024-05-17,587.4845
2024-05-16,581.574
2024-05-15,578.8709
2024-05-14,575.5206
2024-05-13,579.4993
2024-05-10,577.153
2024-05-09,578.9546
2024-05-08,577.2907
2024-05-07,577.7411
2024-05-06,576.9475
2024-05-03,573.1897
2024-05-02,573.1694
2024-05-01,572.6671
2024-04-30,586.1663
2024-04-29,592.5599
2024-04-26,595.9391
2024-04-25,594.6023
2024-04-24,592.158
2024-04-23,593.8186
2024-04-22,589.9588
2024-04-19,590.2653
2024-04-18,586.4572
2024-04-17,587.1469
2024-04-16,596.8136
2024-04-15,596.954
2024-04-12,598.3193
2024-04-11,594.1316
2024-04-10,598.088
2024-04-09,595.7014
2024-04-08,599.1657
2024-04-05,601.9073
2024-04-04,599.1807
